DRINK_ID,NAME,LITERS,BASE_PRICE,PRICE
DRI20001,Coca-Cola,500,19,49
DRI20002,Pepsi,500,29,59
DRI20003,Sprite,500,39,69
DRI20004,Dr. Pepper,500,49,79
DRI20005,Mountain Dew,500,59,89
DRI20006,Iced Tea,500,69,99
DRI20007,Lemonade,500,69,99
DRI20008,Root Beer,500,69,99
DRI20009,Orange Soda,500,69,99
DRI20010,Water,500,69,99
DRI20011,Fanta,500,69,99
DRI20012,Root Beer Float,500,69,99
DRI20013,Mango Lassi,500,69,99
DRI20014,Strawberry Milkshake,500,69,99
DRI20015,Apple Juice,500,69,99
DRI20016,Orange Juice,500,69,99
DRI20017,Grape Soda,500,19,49
DRI20018,Cranberry Juice,500,29,59
DRI20019,Lime Soda,500,39,69
DRI20020,Sparkling Water,500,49,79
DRI20021,Cherry Cola,500,59,89
DRI20022,Blue Raspberry Slush,500,69,99
DRI20023,Chocolate Milk,500,69,99
DRI20024,Ginger Ale,500,69,99
DRI20025,Strawberry Lemonade,500,69,99
DRI20026,Green Tea,500,69,99
DRI20027,Black Coffee,300,19,49
DRI20028,Mango Juice,500,29,59
DRI20029,Pineapple Soda,500,39,69
DRI20030,Seltzer Water,500,49,79
DRI20031,Cherry Lemonade,500,59,89
DRI20032,Strawberry Kiwi,500,69,99
DRI20033,Limeade,500,69,99
DRI20034,Vanilla Shake,500,69,99
DRI20035,Root Beer Float,500,69,99
DRI20036,Cappuccino,300,69,99
DRI20037,Hot Chocolate,300,69,99
DRI20038,Coconut Water,500,69,99
DRI20039,Blueberry Smoothie,500,69,99
DRI20040,Peach Iced Tea,500,69,99
DRI20041,Raspberry Soda,500,69,99
DRI20042,Pomegranate Juice,500,69,99
DRI20043,White Grape Juice,500,19,49
DRI20044,Passion Fruit Punch,500,29,59
DRI20045,Arnold Palmer,500,39,69
DRI20046,Melon Soda,500,49,79
DRI20047,Lavender Lemonade,500,59,89
DRI20048,Horchata,500,69,99
DRI20049,Pina Colada,500,69,99
DRI20050,Watermelon Cooler,500,69,99
